time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.770866303294368e-08,2.6946174217940735e-07,10.004784349282636,0.00024224718734977557,6.283085815653099,0.0,7.5199846020505355e-06,2.354014661318484e-05,0.1594686787176272,0.011088233643864579,-0.005200199421350976,0.0,456.5019912440067,456.086962217576,454.0152790486216,454.90381975502225
0.12000000000000001,3.854738432446165e-06,1.161077614859778e-05,10.02067940655307,0.0016404898979853755,6.283113301424192,0.0,0.00013331335053013235,0.0004852252823647424,0.37032128340441217,0.04051686339220416,0.00988026069568252,0.0,470.5256833023591,471.69152538705623,469.3649692948297,471.6429904012227
0.18,1.1082989366419325e-05,8.835368396575564e-05,10.047935116631624,0.004246137839609254,0.00023551592122039722,0.0,5.463051239268458e-05,0.0023555434201104116,0.5381370998825098,0.04869036556865833,-0.00666672607373125,0.0,458.6422903859672,457.3263410536854,457.8540264711768,458.50472602321247
0.23999999999999996,1.0099085975070153e-05,0.00034617438286005994,10.086891388235049,0.007207858719885607,0.00010598583035204001,0.0,-5.711375727756655e-05,0.006591195013671938,0.7602819081704797,0.05067213173516827,0.005602981406652585,0.0,472.9039467130723,473.8480147296985,475.3662484593915,475.51940513126186
0.3,3.279137424906015e-06,0.0009027072580290236,10.135556892561508,0.010408343215541294,0.0002515488334697835,0.0,-0.00019576134091768143,0.012278835604338813,0.8618273846798967,0.05820515113390869,-0.004836488992000084,0.0,439.118028225287,438.25125311815,437.00817276652606,437.63746370094066
0.36000000000000004,-1.196363830590867e-05,0.0018371648710563753,10.187437419585319,0.014467141257720861,6.2830971729663885,0.0,-0.0002846477593881276,0.019206216570427845,0.8675151701926878,0.08185909717034485,-0.007364491803541995,0.0,406.54948326984567,406.32303348234166,405.8265491762872,407.9476490085817
0.4200000000000001,-2.615330721010544e-05,0.003246482784897672,10.238537957263901,0.019406199609203867,6.282559233121638,0.0,-0.00014808111495026658,0.028177811900620096,0.8358533716152362,0.08321872961177285,-0.012377437047388322,0.0,394.49357673267065,394.03058491321553,393.1223033192787,393.2547221441594
0.48000000000000015,-2.1071320681485674e-05,0.005322773581010202,10.289931356045546,0.025369326847894058,6.282250543716707,0.0,0.00036378775902489086,0.04155313228216737,0.8772174024318777,0.12026385367425264,0.006386716333485434,0.0,418.104181200031,419.73565832980074,416.77265011857185,420.00606306743026
0.5400000000000001,2.169806783745873e-05,0.008460518309799995,10.349030640694798,0.032749841032219784,6.282483944057919,0.0,0.0010243346053761427,0.06390305058790596,1.09255298240344,0.12799479114420925,-0.0016407583366412574,0.0,473.1618506092625,472.5434570776299,472.7809243991138,473.388790923799
0.6000000000000002,0.00010275580963288314,0.013296063498944279,10.426223779535631,0.04018730504533785,6.283148398872889,0.0,0.0016252303660628075,0.09836214145157798,1.4800931031396962,0.1143385971759043,0.02878859596736779,0.0,520.44009499335,522.5652511025619,522.0742705333173,521.1320486543322
0.6600000000000003,0.00019344705298088364,0.020205465291918797,10.521650932776458,0.047486968237025806,0.0016303468687306477,0.0,0.0011942739468405125,0.13279021638196023,1.7004719053977297,0.13329807320852247,0.025706726546992815,0.0,476.2357592236698,476.0001346302164,474.92300447540885,476.3869503225783
0.7200000000000003,0.0002320693632823681,0.02901478849189874,10.623191815993533,0.05601282078984937,0.0032981362793975677,0.0,-4.343504061140517e-05,0.16155866218263842,1.6842098699322006,0.15555211206379543,0.03167822150832288,0.0,401.6659595191838,402.2073957103951,400.1390644669845,402.18048539218444
0.7800000000000004,0.00016224620527957346,0.039771697508956504,10.724987301989277,0.06508445231129567,0.005084940046875097,0.0,-0.002451925253956339,0.19783975281593655,1.7088819411661804,0.14063565871125278,0.02568514244367163,0.0,415.32093966949344,414.7953484883861,416.69508339332776,415.4122405358175
0.8400000000000004,-0.0001145239018553349,0.0532377036252553,10.833771719975724,0.07364041458731752,0.007263185092559077,0.0,-0.006998556038495096,0.2520065938805026,1.9168634477785271,0.14625888792341274,0.05183837620507116,0.0,472.1531608450655,474.16690785972423,473.1424200782827,473.5926806048277
0.9000000000000005,-0.0007072770581299413,0.07001613746970402,10.953121443512204,0.08232106685906615,0.010073343975981253,0.0,-0.013082891643671,0.3082010801437504,2.0611268865888466,0.14131510456437252,0.03425985861009276,0.0,455.50226841534226,454.0956313077439,455.3199381367792,454.9432890209133
0.9600000000000005,-0.001695762578223631,0.09013318033532787,11.078466374654953,0.09047330120780828,0.012685612042174554,0.0,-0.020093328537888203,0.3631521026326047,2.1168544111093883,0.12183303044791648,0.05756369197433427,0.0,427.07899938517227,429.06302717724253,428.0932650853197,426.4500117241552
1.0200000000000005,-0.0032012542717124344,0.11398178108743386,11.210198912849586,0.09742801484888997,0.016483097745662256,0.0,-0.030489693819595803,0.4325607786869227,2.2738362948496103,0.10017358052450359,0.07280609833394236,0.0,459.7840143930966,460.9926692830431,460.395229975461,458.68970669895816
1.0800000000000005,-0.005378999295934707,0.1419146685699703,11.349011631118499,0.10335723992135026,0.020971808398666525,0.0,-0.04253917243400523,0.49910387173087595,2.353011047115689,0.09596898373931223,0.07854653091814004,0.0,436.03728618501935,436.521053977467,436.9159114745677,436.5738124733629
1.1400000000000006,-0.008381501650179821,0.17400570291236497,11.493023372093466,0.10937607107520808,0.025764363648766775,0.0,-0.05802276525343936,0.5711648152135482,2.447089145790865,0.10782575011867289,0.08240879594675987,0.0,441.5737741862619,441.89742269483554,441.3723498348921,442.3584618262444
